char,jyutping,location
ang,ang4,onomatopoeia.csv:[39 咦咦ang ang ji4 ji1 ang4 ang4]
fe,fe4,onomatopoeia.csv:[21 fi li fe le fi4 li1 fe4 le4]
fi,fi4,onomatopoeia.csv:[21 fi li fe le fi4 li1 fe4 le4]
hee,hi1,onomatopoeia.csv:[37 hee hee hur hur hi4 hi1 hoe4 hoe4]
hee,hi4,onomatopoeia.csv:[37 hee hee hur hur hi4 hi1 hoe4 hoe4]
hur,hoe4,onomatopoeia.csv:[37 hee hee hur hur hi4 hi1 hoe4 hoe4]
le,le4,onomatopoeia.csv:[21 fi li fe le fi4 li1 fe4 le4]
li,li1,onomatopoeia.csv:[21 fi li fe le fi4 li1 fe4 le4|29 si li sir lur si4 li1 soe4 loe4]
lur,loe4,onomatopoeia.csv:[29 si li sir lur si4 li1 soe4 loe4]
si,si4,onomatopoeia.csv:[29 si li sir lur si4 li1 soe4 loe4]
sir,soe4,onomatopoeia.csv:[29 si li sir lur si4 li1 soe4 loe4]
㗎,gaa4,phrase_fragment.csv:[5652 真唔真㗎 zan1 m4 zan1 gaa4];word.csv:[13 㗎仔 gaa4 zai2|15 㗎佬 gaa4 lou2|24 㗎妹 gaa4 mui1|25 㗎文 gaa4 man2|26 㗎話 gaa4 waa2|27 㗎頭 gaa4 tau4]
㗎,gaak1,phrase_fragment.csv:[5821 笑到㗎㗎聲 siu3 dou3 gaak1 gaak1 seng1]
㗰,saai1,word.csv:[21400 大㗰 daai6 saai1]
㗾,ho4,word.csv:[47354 氣㗾氣喘 hei3 ho4 hei3 cyun2]
㗾,hoe2,word.csv:[30 㗾㗾聲 hoe4 hoe2 seng1]
㝫,lung1,word.csv:[36330 捐山㝫 gyun1 saan1 lung1|62599 窿㝫罅罅 lung1 lung1 laa3 laa3]
㞎,bet4,word.csv:[27499 屙㞎㞎 o1 bet4 bet4]
㞘,dok1,word.csv:[27341 屋㞘 uk1 dok1]
㨆,lam4,word.csv:[64 㨆滿晒 lam4 mun5 saai3]
㨢,lang3,onomatopoeia.csv:[31 椗呤鄧㨢 ding4 ling1 dang6 lang3];word.csv:[14673 叮拎等㨢 ding4 ling1 dang6 lang3|45031 椗呤鄧㨢 ding4 ling1 dang6 lang3|72250 藤㨢瓜瓜㨢藤 tang4 lang3 gwaa1 gwaa1 lang3 tang4]
㨢,nang3,phrase_fragment.csv:[1517 冇𪐀㨢 mou5 naa1 nang3];word.csv:[17163 啦㨢 naa1 nang3|93480 𠸎㨢 naa1 nang3]
㩉,jaap6,word.csv:[71 㩉手 jaap6 sau2]
㩧,baak1,word.csv:[90 㩧手指綟 baak1 sau2 zi2 lit3]
㫱,naan3,word.csv:[89018 風㫱 fung1 naan3]
㮌,min2,word.csv:[93593 𣏴㮌 jan4 min2]
㰮,san5,word.csv:[7687 傻傻㰮㰮 so4 so4 san5 san5]
㹃,fe5,word.csv:[74250 褦㹃 le5 fe5]
㼞,paang1,word.csv:[47563 水㼞 seoi2 paang1]
㾑,dap1,word.csv:[60270 矮㾑㾑 ai2 dap1 dap1]
㿺,baau3,word.csv:[122 㿺㿭 baau3 caak3]
䁅,mang2,word.csv:[123 䁅頸 mang2 geng2|124 䁅𤿆 mang2 zang2]
䂿,dam6,word.csv:[135 䂿地 dam6 dei6|136 䂿腳 dam6 goek3|36456 捶胸䂿腳 ceoi4 hung1 dam6 goek3]
䂿,dap6,word.csv:[137 䂿骨 dap6 gwat1]
䃎,gwaang1,word.csv:[33813 打䃎䃎 daa2 gwaang1 gwaang1]
䆲,gwaang1,word.csv:[62286 空䆲䆲 hung1 gwaang1 gwaang1]
䍇,taap3,word.csv:[19895 埕埕䍇䍇 cing4 cing4 taap3 taap3|27395 屎䍇 si2 taap3]
䏠,laap6,word.csv:[14248 口䏠𦠿 hau5 laap6 sap6]
䐱,zaa6,word.csv:[93627 𦜖䐱 aa6 zaa6|93628 𦜖䐱 ngaa6 zaa6]
䒏,sang3,word.csv:[32855 懵䒏䒏 mung2 sang3 sang3]
䒐,mang2,word.csv:[138 䒐䒏 mang2 zang2|57750 發䒐䒏 faat3 mang2 zang2]
䓤,cung1,word.csv:[139 䓤油餅 cung1 jau4 beng2]
䖢,saa1,word.csv:[93641 𧌇䖢 bang1 saa1]
䘒,zoe1,word.csv:[140 䘒䘒 zoe4 zoe1]
䘒,zoe4,word.csv:[140 䘒䘒 zoe4 zoe1]
䙞,dang3,phrase_fragment.csv:[2680 啲啲䙞䙞 di1 di1 dang3 dang3]
䚗,gong3,word.csv:[6107 依牙鬆䚗 ji1 ngaa4 sung1 gong3|93698 𪘲牙聳䚗 ji1 ngaa4 sung1 gong3]
䚗,gong6,word.csv:[73033 蟹䚗 haai5 gong6]
䟓,cing3,word.csv:[91508 鬼跉䟓 gwai2 ling4 cing3]
䟴,an3,word.csv:[145 䟴身䟴勢 an3 san1 an3 sai3]
䠄,din2,word.csv:[147 䠄牀䠄席 din2 cong4 din2 zek6|148 䠄癮 din2 jan5]
䠩,gui3,word.csv:[119 㾓㾓䠩䠩 jyun1 jyun1 gui3 gui3]
䡣,wan6,word.csv:[149 䡣路 wan6 lou6]
䤍,mei1,word.csv:[63835 粥䤍 zuk1 mei1]
䧒,laai4,word.csv:[79626 軟䧒䧒 jyun5 laai4 laai4|84341 長䧒䧒 coeng4 laai4 laai4]
䪏,nap6,word.csv:[79627 軟䪏䪏 jyun5 nap6 nap6]
䱽,coeng1,word.csv:[92525 黃臘䱽 wong4 laap6 coeng1]
䵦,caa5,word.csv:[64009 糊哩麻䵦 wu4 lei1 maa5 caa5]
丁,deng1,word.csv:[23939 妹丁 mui1 deng1|23941 妹仔丁 mui1 zai2 deng1|76974 豆丁 dau6 deng1]
丁,ding4,word.csv:[904 丁零襶褦 ding4 ling1 daai4 lang3]
丈,zoeng2,word.csv:[23996 姑丈 gu1 zoeng2|24090 姨丈 ji4 zoeng2]
三,sam1,word.csv:[85380 阻三阻四 zo2 sam1 zo2 sei3]
上,soeng2,word.csv:[14849 右上左落 jau6 soeng2 zo2 lok6|28049 左上右落 zo2 soeng2 jau6 lok6]
