char,class,normal_char,comment
㐇,韓文,,
㐈,韓文,,
㐉,韓文,,
㐊,韓文,,
㐋,韓文,,
㐍,韓文,,
㐎,韓文,,
㐏,韓文,,
㐐,韓文,,
㐑,韓文,,
㐒,韓文,,
㐓,韓文,,
㐔,韓文,,
㐕,韓文,,
㐗,韓文,,
㐘,韓文,,
㐙,韓文,,
㐚,韓文,,
㐛,韓文,,
㐝,韓文,,
㐞,韓文,,
㐟,韓文,,
㐠,韓文,,
㐢,韓文,,
㐣,韓文,,
㐥,韓文,,
㐦,韓文,,
㔔,韓文,,
㔖,韓文,,
㕾,韓文,,
㖈,韓文,,
㖋,韓文,,
㖌,韓文,,
㖍,韓文,,
㖎,韓文,,
㖙,韓文,,
㖚,韓文,,
㖛,韓文,,
㖜,韓文,,
㖝,韓文,,
㖯,韓文,,
㖰,韓文,,
㖲,韓文,,
㖳,韓文,,
㗟,韓文,,
㗠,韓文,,
㗡,韓文,,
㗯,韓文,,
㪲,韓文,,
㪳,韓文,,
㫇,韓文,,
㫈,韓文,,
䎛,韓文,,
乤,韓文,,
乧,韓文,,
乫,韓文,,
乬,韓文,,
乭,韓文,,
乮,韓文,,
乯,韓文,,
乲,韓文,,
乴,韓文,,
乶,韓文,,
乷,韓文,,
乺,韓文,,
乻,韓文,,
乼,韓文,,
乽,韓文,,
哛,韓文,,
巪,韓文,,
旕,韓文,,
蒊,韓文,,
㢱,韓文,,口訣字
㫆,韓文,,口訣字
丆,韓文,,口訣字
丷,韓文,,口訣字
乊,韓文,,口訣字
亪,韓文,,口訣字
亽,韓文,,口訣字
仒,韓文,,口訣字
兯,韓文,,口訣字
厼,韓文,,口訣字
壭,韓文,,口訣字
朩,韓文,,口訣字
爳,韓文,,口訣字
罖,韓文,,口訣字
