char,class,normal_char,comment
㖬,來歷不明,,
㗷,來歷不明,,
𠘰,來歷不明,,
𠣕,來歷不明,,
𠤖,來歷不明,,
𡓨,來歷不明,,
𡘊,來歷不明,,
𣸰,來歷不明,,
𤦉,來歷不明,,
㗸,來歷不明,,疑似「㘅」
𢌡,來歷不明,,疑似「㢠」
𠡳,來歷不明,,疑似「勔」
𡛀,來歷不明,,疑似「妭」
𡢠,來歷不明,,疑似「媧」或「𭒨」
𡣑,來歷不明,,疑似「嬪」
𡢞,來歷不明,,疑似「孆」
𤩷,來歷不明,,疑似「璿」
𡘓,來歷不明,,疑似「矦」
䄹,來歷不明,,疑似「秊」
𢇁,來歷不明,,疑似「絲」
𢇃,來歷不明,,疑似「絲」
𠁨,來歷不明,,疑似「翀」
𣸮,來歷不明,,疑似「陰」或「𣼩」
爂,古文,票,
㪿,古文,折,「折」古文
𠤣,古文,次𠂔,傳統字書表示係「次」嘅古文，實際上係「𠂔」嘅古文強行楷化。
䏮,日文,脅脇,
勲,日文,勳,
対,日文,對,
巣,日文,巢,
帯,日文,帶,
帰,日文,歸,
恵,日文,惠,
戸,日文,户戶,
抜,日文,拔,
挿,日文,插,
摂,日文,攝,
絶,日文,絕,
荘,日文,莊,
薫,日文,薰,
蝋,日文,蠟,
髪,日文,髮,
黒,日文,黑,
㑒,日文,僉,「㑒/僉」組
㪘,日文,斂,「㑒/僉」組
倹,日文,儉,「㑒/僉」組
剣,日文,劍,「㑒/僉」組
検,日文,檢,「㑒/僉」組
険,日文,險,「㑒/僉」組
験,日文,驗,「㑒/僉」組
鹸,日文,鹼,「㑒/僉」組
揺,日文,搖,「䍃」組
謡,日文,謠,「䍃」組
䰗,日文,鬮,「亀/龜」組
亀,日文,龜,「亀/龜」組
穐,日文,龝,「亀/龜」組
暦,日文,曆,「厤」組
歴,日文,歷,「厤」組
捜,日文,搜,「叟」組
痩,日文,瘦,「叟」組
尭,日文,堯,「尭/堯」組
暁,日文,曉,「尭/堯」組
焼,日文,燒,「尭/堯」組
経,日文,經,「巠」組
軽,日文,輕,「巠」組
頚,日文,頸,「巠」組
㦮,日文,戔,「戔」組
䇳,日文,箋,「戔」組
䬻,日文,餞,「戔」組
桟,日文,棧,「戔」組
賎,日文,賤,「戔」組
銭,日文,錢,「戔」組
斉,日文,齊,「斉/齊」組
斎,日文,齋,「斉/齊」組
歩,日文,步,「歩/步」組
渉,日文,涉,「歩/步」組
㾱,日文,癈,「発/發」組
廃,日文,廢,「発/發」組
溌,日文,潑,「発/發」組
発,日文,發,「発/發」組
醗,日文,醱,「発/發」組
㫪,日文,舂,「臼」組
焔,日文,焰,「臼」組
陥,日文,陷,「臼」組
舎,日文,舍,「舎/舍」組
舗,日文,舖,「舎/舍」組
臓,日文,臟,「蔵/藏」組
蔵,日文,藏,「蔵/藏」組
壊,日文,壞,「褱」組
懐,日文,懷,「褱」組
勧,日文,勸,「雚」組
権,日文,權,「雚」組
歓,日文,歡,「雚」組
潅,日文,灌,「雚」組
観,日文,觀,「雚」組
労,日文,勞,「𤇾」組
営,日文,營,「𤇾」組
栄,日文,榮,「𤇾」組
蛍,日文,螢,「𤇾」組
覚,日文,覺,「𦥯」組
㐀,罕見,丘,
㐧,罕見,第,
㐪,罕見,亥,
㑅,罕見,作,
㕻,罕見,咅,
㢴,罕見,西,
㥁,罕見,德,
㧞,罕見,拔,
㪯,罕見,舉,
㪽,罕見,所,
㫁,罕見,斷,
㳺,罕見,游,
㶾,罕見,票,
㸦,罕見,互,
䆴,罕見,竈,
䋄,罕見,網,
䍐,罕見,罕,
䍑,罕見,罕,
䍞,罕見,罭,
䑓,罕見,臺,
䖈,罕見,虐,
䖹,罕見,蛘,
䘖,罕見,銜,
䘗,罕見,徽,
䘙,罕見,衛衞,
䘠,罕見,袚,
䘮,罕見,喪,
䛐,罕見,詞,
䛕,罕見,諛,
䝉,罕見,蒙,
䟦,罕見,跋,
䡖,罕見,輕,
丗,罕見,世,
亁,罕見,乾,
亗,罕見,歲,
亱,罕見,夜,
兊,罕見,兌,
兲,罕見,天,
兲,罕見,𠀡,
凞,罕見,熙,
凴,罕見,憑,
卋,罕見,世,
卝,罕見,礦,
厺,罕見,去,
叐,罕見,犮,
哶,罕見,咩,
囬,罕見,回,
囯,罕見,國,
囻,罕見,國,
坕,罕見,巠,
尓,罕見,尔,
屳,罕見,仙,
岀,罕見,出,
嵗,罕見,歲,
廽,罕見,廻,
彂,罕見,發,
恱,罕見,悅,
恴,罕見,德,
悳,罕見,德,
惪,罕見,德,
扵,罕見,於,
揷,罕見,插,
摉,罕見,搜,
斈,罕見,學,
斍,罕見,覺,
斚,罕見,斝,
斵,罕見,斲,
橩,罕見,𣜧,
潈,罕見,潀,
潨,罕見,潀,
澙,罕見,潟,
灮,罕見,光,
焭,罕見,煢,
碍,罕見,礙,
縂,罕見,總,
网,罕見,網,
羐,罕見,羑,
舃,罕見,舄,
芁,罕見,艽,
蕏,罕見,藸,
蕚,罕見,萼,
薓,罕見,蓡,
蝅,罕見,蠶,
覇,罕見,霸,
覉,罕見,羇,
覊,罕見,羈,
逓,罕見,遞,
鎼,罕見,鏬,
鬬,罕見,鬭,
鵞,罕見,鵝,
𠘑,罕見,熙,
𠘕,罕見,熙,
𠙖,罕見,憑,
𡙡,罕見,羹,
𡚁,罕見,弊,
𡭊,罕見,對,
𢟍,罕見,歷,
𣸯,罕見,游,
𣽁,罕見,潀,
𤋮,罕見,熙,
𦬣,罕見,菵,
𦮖,罕見,羑,
𧢲,罕見,角,
𧩙,罕見,誕,
撑,罕見,撐,「牚」組
罉,罕見,𦉘,「牚」組
㒺,罕見,罔,「亡」組
㠩,罕見,巟,「亡」組
㡃,罕見,㡆,「亡」組
㤀,罕見,忘,「亡」組
亾,罕見,亡,「亡」組
兦,罕見,亡,「亡」組
㗋,罕見,喉,「侯」組
㺅,罕見,猴,「侯」組
矦,罕見,侯,「侯」組
㛮,罕見,嫂,「叟」組
䑹,罕見,艘,「叟」組
䗏,罕見,螋,「叟」組
䤇,罕見,醙,「叟」組
䤹,罕見,鎪,「叟」組
䬒,罕見,颼,「叟」組
䮟,罕見,騪,「叟」組
廀,罕見,廋,「叟」組
𦺋,罕見,䕅,「叟」組
㖾,罕見,咢,「咢」組
㦍,罕見,愕,「咢」組
䣞,罕見,鄂,「咢」組
遻,罕見,遌,「咢」組
蜖,罕見,蛔,「回」組
逥,罕見,迴,「回」組
嵜,罕見,㟢,「奇」組
竒,罕見,奇,「奇」組
𤦺,罕見,琦,「奇」組
㚷,罕見,妳,「尔」組
伱,罕見,你,「尔」組
尒,罕見,尔,「尔」組
鉩,罕見,鉨,「尔」組
䝇,罕見,豗,「尢」組
尦,罕見,尥,「尢」組
尩,罕見,尪,「尢」組
尫,罕見,尪,「尢」組
尶,罕見,尷,「尢」組
䣨,罕見,䣩,「屯」組
䤜,罕見,鈍,「屯」組
扥,罕見,扽,「屯」組
䗶,罕見,蠟,「巤」組
臈,罕見,臘,「巤」組
倊,罕見,傯,「忩/悤」組
捴,罕見,摠,「忩/悤」組
棇,罕見,樬,「忩/悤」組
焧,罕見,熜,「忩/悤」組
総,罕見,總,「忩/悤」組
㷓,罕見,熜,「怱/悤」組
䗓,罕見,蟌,「怱/悤」組
揔,罕見,摠,「怱/悤」組
楤,罕見,樬,「怱/悤」組
緫,罕見,總,「怱/悤」組
聦,罕見,聰,「怱/悤」組
㫄,罕見,旁,「旁」組
㮄,罕見,榜,「旁」組
㫺,罕見,昔,「昔」組
䥘,罕見,錯,「昔」組
㛆,罕見,㛊,「朵」組
刴,罕見,剁,「朵」組
挅,罕見,挆,「朵」組
朶,罕見,朵,「朵」組
跥,罕見,跺,「朵」組
躱,罕見,躲,「朵」組
㷀,罕見,煢,「煢」組
㙧,罕見,塯,「留」組
㩅,罕見,㨨,「留」組
橊,罕見,榴,「留」組
澑,罕見,溜,「留」組
璢,罕見,瑠,「留」組
畱,罕見,留,「留」組
癅,罕見,瘤,「留」組
鐂,罕見,鎦,「留」組
飅,罕見,飀,「留」組
驑,罕見,騮,「留」組
㨗,罕見,捷,「疌」組
偼,罕見,倢,「疌」組
媫,罕見,婕,「疌」組
㗐,罕見,嗑,「盍」組
葢,罕見,蓋,「盍」組
豓,罕見,豔,「盍」組
㰖,罕見,欖,「監」組
䌫,罕見,纜,「監」組
覧,罕見,覽,「監」組
鍳,罕見,鑒,「監」組
鑬,罕見,𨰲,「監」組
𨯿,罕見,𨰹,「監」組
㷠,罕見,粦,「粦」組
䢯,罕見,遴,「粦」組
䮼,罕見,驎,「粦」組
䋞,罕見,網,「罔」組
䒽,罕見,菵,「罔」組
䰣,罕見,魍,「罔」組
蛧,罕見,蝄,「罔」組
㤤,罕見,㥚,「臾」組
㬰,罕見,臾,「臾」組
茰,罕見,萸,「臾」組
螤,罕見,斔,「臾」組
猪,罕見,豬,「豬」組
邫,罕見,邦,「邑」組
郌,罕見,邽,「邑」組
郒,罕見,郎,「邑」組
郶,罕見,部,「邑」組
𨛦,罕見,郡,「邑」組
𧫴,罕見,謹,同謹嘅日本字形同形，HKSCS當另一個字收多咗次。
𡣘,罕見,,正字未編碼：⿰女蒙位於GB18030 0xA029E
𠒇,罕見,兒,見於人名雷莊𠒇
麫,罕見,麪,錯別字：「丏」訛變成「丐」
㒮,罕見,豗,錯別字：「兀」訛變成「元」
斴,罕見,粼,錯別字：「巜」訛變成「斤」
屫,罕見,屩,錯別字：「彳」訛變成「爿」
𨗴,罕見,暹,錯別字：「日」訛變成「罒」
𤒹,罕見,爗,錯別字：「日」誤寫成「田」，見於人名江𤒹生
縀,罕見,緞,錯別字：「段」變成「叚」
𦀩,罕見,緞,錯別字：「段」變成「叚」再訛變
蠎,罕見,蟒,錯別字：「犬」同埋下方部件訛變成「奔」
䛧,罕見,謎,錯別字：「辶」訛變成「𠃊」
𨌺,罕見,翰,錯別字：「龺」訛變成「車」
礡,罕見,礴,錯別字：原大五碼漏掉「氵」
𠄘,罕見,承,錯別字：缺少一筆
䆋,罕見,龝,錯別字：龜右下角錯誤
