char,jyutping
薑母鴨,goeng1 mou5 aap3
退地,teoi3 dei6
仿寫,fong2 se2
黃貓,wong4 maau1
唐貓,tong4 maau1
鹽燒,jim4 siu1
有就可以加,jau5 zau6 ho2 ji5 gaa1
仲有：,zung6 jau5
呢個就有,nei1 go3 zau6 jau5
棄坑,hei3 haang1
笑到停唔到,siu3 dou2 ting4 m4 dou2
雙寫,soeng1 se2
內眼線,noi6 ngaan5 sin3
搭鐵,daap3 tit3
瞓耐啲,fan3 noi6 di1
黨鐵,dong2 tit3
有講,jau5 gong2
深蹲,sam1 cyun4
滿位,mun5 wai6
最近,zeoi3 gan6
斬鳩人,zaam2 kau1 jan4
嘔血,au2 hyut3
話咗佢,waa6 zo2 keoi5
刪喇,saan1 laa3
炸魚薯條,zaa3 jyu2 syu4 tiu2
阿嫲,aa3 maa4
推杯換盞,teoi1 bui1 wun6 zaan2
有冇折,jau5 mou5 zip3
有冇假放,jau5 mou5 gaa2 fong3
有冇錢使,jau5 mou5 zin2 sai2
有冇嘢食,jau5 mou5 je5 sik6
有冇水飲,jau5 mou5 seoi2 jam2
回收箱,wui4 sau1 soeng1
喺房,hai2 fong4
杯酒,bui1 zau2
杯水,bui1 seoi2
碗湯,wun2 soeng1
杯茶,bui1 caa4
都冇乜,dou1 mou5 mat1
細公司,sai3 gung1 si1
放咗工,fong3 zo2 gung1
我淨係,ngo5 zing6 hai6
定乜,ding6 mat1
留晒喺,lau4 saai3 hai2
搵個位,wan2 go3 wai2
唔衕嘢,m4 dung6 je5
思覺,si1 gaau3
社恐,se5 hung2
挨年近晚,aai1 nin4 gan6 maan5
逞英雄,cing2 jing1 hung4
邪靈退散,ce4 ling4 teoi3 saan2
泰劇,taai3 kek6
蛇餅,ji4 beng2
打蛇餅,daa2 se4 beng2
打晒蛇餅,daa2 saai3 ji4 beng2
迴旋木馬,wui4 syun4 muk6 maa5
旋轉木馬,syun4 zyun2 muk6 maa5
好似係,hou2 ci5 hai6
唔係壽司,m4 hai6 sau6 si1
好！,hou2
隱式,jan2 sik1
顯式,hin2 sik1
抄考,caau1 haau2
爆疫,baau3 jik6
危站,ngai4 zaam6
危企,ngai4 kei5
揀中,gaan2 zung1
傾乜,king1 mat1
唔知傾乜,m4 zi1 king1 mat1
係咪要衕,hai6 mai6 jiu3 dung6
和牛,wo4 ngau4
含鳩,ham4 kau1
含𨳊,ham4 gau1
粗幼,cou1 jau3
沿住,jyun4 zyu6
圍封,wai4 fung1
直入,zik6 jap6
變傻,bin3 so4
新嗰啲,san1 go2 di1
睬你都有味,coi2 nei5 dou1 jau5 mei6
睬你都,coi2 nei5 dou1
唔想睬你,m4 soeng2 coi2 nei5
看守政府,hon1 sau2 zing3 fu2
肯肯定,hang2 hang2 ding6
噉冇嘢啦,gam2 mou5 je5 la1
識打,sik1 daa2
可以唔使,ho2 ji5 m4 sai2
佢就要,keoi5 zau6 jiu3
鑽牆,zyun3 coeng4
我求先,ngo5 kau4 sin1
用嗰度,jung6 go2 dou6
到時先算,dou3 si4 sin1 syun3
陽江,joeng4 gong1
框選,hong1 syun2
空少,hung1 siu2
香煎,hoeng1 zin1
轉駁,zyun2 bok3
大步檻過,daai6 bou6 laam3 gwo3
竟然,ging2 jin4
加返吖,gaa1 faan1 a1
古語,gu2 jyu5
撩完鼻,liu4 jyun4 bei6
法向,faat3 hoeng3
布爾運算,bou3 ji5 wan6 syun3
騎牛,ke4 ngau4
伯努利分佈,baa3 nou5 lei6 fan1 bou3
線框,sin3 hong1
打齊,daa2 cai4
強檢,goeng6 gim2
快測,faai3 caak1
快篩,faai3 sai1
都淨係,dou1 zing6 hai6
嗰一個,go2 jat1 go3
琵琶鼠,pei4 paa2 syu2
賣斷市,maai6 tyun5 si5
智撚障,zi3 nan2 zoeng3
笑鳩佢,siu3 kau1 keoi5
人都癲,jan4 dou1 din1
唔理嚕,m4 lei5 lou1
唔奇,m4 gei1
正仆街,zing1 puk1 gaai1
二值化,ji6 zik6 faa3
佢都係,keoi5 dou1 hai6
拯救佢,cing2 gau3 keoi5
試漏嘢,si3 lau6 je5
港英,gong2 jing1
根撚本,gan1 nan2 bun2
我眼殘,ngo5 ngaan5 caan4
未試,mei6 si3
頂住檔先,ding2 zyu6 dong3 sin1
裝嚟用,zong1 lai4 jung6
校大,gaau3 daai6
校細,gaau3 sai3
搬位,bun1 wai6
伯努利,baa3 nou5 lei6
嫁畀,gaa3 bei2
漸層,zim1 cang4
封城,fung1 sing4
子問題,zi2 man6 tai4
蒙版,mung4 baan2
螺肉,lo4 juk6
螺片,lo4 pin2
螺仔,lo4 zai2
響螺片,hoeng2 lo2 pin2
色號,sik1 hou4
祈使句,kei4 sai2 geoi3
孟晚舟,maang6 maan5 zau1
鼻影,bei6 jing2
逆全球化,jik6 cyun4 kau4 faa3
女仔衫,neoi5 zai2 saam1
男仔衫,naam4 zai2 saam1
着女仔衫,zoek6 neoi5 zai2 saam1
着男仔衫,zoek6 naam4 zai2 saam1
浸入式,zam3 jap6 sik1
詹代法則,zim1 doi6 faat3 zak1
消歧,siu1 kei4
點嚟,dim2 lai4
點撚樣,dim2 lan2 joeng2
心肺復甦,sam1 fai3 fuk6 sou1
心肺停止,sam1 fai3 ting4 zi2
好似冇,hou2 ci5 mou5
一次,jat1 ci3
喺邊度,hai2 bin1 dou6
噉咪死火,gam2 mai6 sei2 fo2
抗疫,kong3 jik6
停課,ting4 fo3
線上教學,sin3 soeng6 gaau3 hok6
健康教育,gin6 hong1 gaau3 juk6
傳媒教育,cyun4 mui4 gaau3 juk6
資訊素養,zi1 seon3 sou3 joeng5
基本法,gei1 bun2 faat3
基本法與我,gei1 bun2 faat3 jyu5 ngo5
居港有法,geoi1 gong2 jau5 faat3
香港是我家,hoeng1 gong2 si6 ngo5 gaa1
活力都市,wut6 lik6 dou1 si5
一國兩制,jat1 gwok3 loeng5 zai3
合法合情,hap6 faat3 hap6 cing4
電馬達,din6 maa5 daat6
馬達,maa5 daat6
聲音模型,seng1 jam1 mou4 jing4
聲音傳播,seng1 jam1 cyun4 bo3
聲音的變調,seng1 jam1 dik1 bin3 diu6
環保建築物,waan4 bou2 gin3 zuk1 mat6
可持續,ho2 ci4 zuk6
可持續發展,ho2 ci4 zuk6 faat3 zin2
電源,din6 jyun4
電池,din6 ci4
電筒,din6 tung2
科學家,fo1 hok6 gaa1
電路,din6 lou6
閉合電路,bai3 hap6 din6 lou6
燈泡,dang1 paau1
亮度,loeng6 dou6
電流,din6 lau4
隔音屏障,gaak3 jam1 ping4 zoeng3
隔音效能,gaak3 jam1 haau6 nang4
隔音,gaak3 jam1
吸音,kap1 jam1
影子,jing2 zi2
光的反射,gwong1 dik1 faan2 se6
凹面鏡,nap1 min6 geng3
平面鏡,ping4 min2 geng3
凸面鏡,dat6 min6 geng3
閉合電路,bai3 hap6 din6 lou6
燈泡,dang1 paau1
亮度,loeng6 dou6
隔音物料,gaak3 jam1 mat6 liu2
隔音效能,gaak3 jam1 haau6 nang4
密實度,mat6 sat6 dok6
發光物料,faat3 gwong1 mat6 liu2
不發光物料,bat1 faat3 gwong1 mat6 liu2
影像,jing2 zoeng6
校園低碳大行動,haau6 jyun2 dai1 taan3 daai6 hong2 dung6
校園低碳行動,haau6 jyun2 dai1 taan3 hang4 dung6
碳排放量,taan3 paai4 fong3 loeng4
低碳行動,dai1 taan3 hang4 dung6
香港的經濟,hoeng1 gong2 dik1 ging1 zai3
經濟論壇,ging1 zai3 leon6 taan4
貿發網,mau6 faat3 mong5
社區設施,se5 keoi1 cit3 si1
社區地圖,se5 keoi1 dei6 tou4
社區建設,se5 keoi1 gin3 cit3
香港的地理環境,hoeng1 gong2 dik1 dei6 lei5 waan4 ging2
高山,gou1 saan1
平地,ping4 dei6
海岸線,hoi2 ngon6 sin3
海島,hoi2 dou2
月亮的變化,jyut6 loeng6 dik1 bin3 faa3
月亮的形狀,jyut6 loeng6 dik1 jing4 zong6
月亮的故事,jyut6 loeng6 dik1 gu3 si6
月相,jyut6 soeng3
我們一起賞月去,ngo5 mun4 jat1 hei2 soeng2 jyut2 heoi3
月亮盈虧,jyut6 loeng6 jing4 kwai1
救援工作,gau3 jyun4 gung1 zok3
無國界醫生,mou4 gwok3 gaai3 ji1 sang1
人道危機,jan4 dou6 ngai4 gei1
中國歷史名人,zung1 gwok3 lik6 si2 ming4 jan4
歷史名人卷,lik6 si2 ming4 jan4 gyun2
中國名人,zung1 gwok3 ming4 jan4
衛生處（衛生署）,wai6 sang1 cyu2 wai6 sang1 cyu5
中國歷史人物,zung1 gwok3 lik6 si2 jan4 mat2
中國歷史人物小故事,zung1 gwok3 lik6 si2 jan4 mat2 siu2 gu3 si6
住在香港,zyu6 zoi6 hoeng1 gong2
香港的房屋,hoeng1 gong2 dik1 fong4 uk1
香港的居住環境,hoeng1 gong2 dik1 geoi1 zyu6 waan4 ging2
食物的生產,sik6 mat6 dik1 sang1 caan2
食物的來源,sik6 mat6 dik1 loi4 jyun4
香港的漁業,hoeng1 gong2 dik1 jyu4 jip6
香港的農業,hoeng1 gong2 dik1 nung4 jip6
食物加工過程,sik6 mat6 gaa1 gung1 gwo3 cing4
指南針,zi2 naam4 zam1
方向與位置,fong1 hoeng3 jyu5 wai6 zi3
四個方位,sei3 go3 fong1 wai2
能量,nang4 loeng6
動能,dung6 nang4
勢能,sai3 nang4
熱能,jit6 nang4
光能,gwong1 nang4
聲能,sing1 nang4
化學能,faa3 hok6 nang4
覈能,hat6 nang4
能量的轉變,nang4 loeng6 dik1 zyun2 bin3
電能,din6 nang4
熱的來源,jit6 dik1 loi4 jyun4
熱的傳遞,jit6 dik1 cyun4 dai6
熱脹冷縮,jit6 zoeng3 laang5 suk1
季節,gwai3 zit3
氣候,hei3 hau6
天氣,tin1 hei3
自然災害,zi6 jin4 zoi1 hoi6
季節的轉移,gwai3 zit3 dik1 zyun2 ji4
氣候的特徵,hei3 hau6 dik1 dak6 zing1
地球,dei6 kau4
地球的表面,dei6 kau4 dik1 biu2 min6
水的三態,seoi2 dik1 saam1 taai3
水的不衕形態,seoi2 dik1 bat1 dung6 jing4 taai3
大自然,daai6 zi6 jin4
愛護大自然,oi3 wu6 daai6 zi6 jin4
樂在大自然,lok6 zoi6 daai6 zi6 jin4
珍惜大自然,zan1 sik1 daai6 zi6 jin4
天氣的特色,tin1 hei3 dik1 dak6 sik1
風雷雨電的形成,fung1 leoi4 jyu5 din6 dik1 jing4 sing4
行雷閃電,haang4 leoi4 sim2 din6
綠化社區,luk6 faa3 se5 keoi1
植物的重要性,zik6 mat6 dik1 zung6 jiu3 sing3
植物的用途,zik6 mat6 dik1 jung6 tou4
能源,nang4 jyun4
能量的來源,nang4 loeng6 dik1 loi4 jyun4
能源的用途,nang4 jyun4 dik1 jung6 tou4
照顧生物,ziu3 gu3 sang1 mat6
照顧動物,ziu3 gu3 dung6 mat6
疾病,zat6 beng6
香港常見的疾病,hoeng1 gong2 soeng4 gin3 dik1 zat6 beng6
預防疾病,jyu6 fong4 zat6 beng6
校園設施,haau6 jyun2 cit3 si1
校園生活,haau6 jyun2 sang1 wut6
學校活動,hok6 haau6 wut6 dung6
情緒,cing4 seoi5
快樂小人兒,faai3 lok6 siu2 jan2 ji4
表達情緒,biu2 daat6 cing4 seoi5
個人衛生,go3 jan4 wai6 sang1
保持個人衛生,bou2 ci4 go3 jan4 wai6 sang1
做個清潔的孩子,zou6 go3 cing1 git3 dik1 haai4 zi2
姿勢與健康,zi1 sai3 jyu5 gin6 hong1
正確的姿勢,zing3 kok3 dik1 zi1 sai3
生活習慣,sang1 wut6 zaap6 gwaan3
健康生活,gin6 hong1 sang1 wut6
規律的生活,kwai1 leot6 dik1 sang1 wut6
健康生活習慣,gin6 hong1 sang1 wut6 zaap6 gwaan3
星星,sing1 sing1
觀星,gun1 sing1
星座,sing1 zo6
星星問,sing1 sing1 man6
青春期,cing1 ceon1 kei4
少年心事,siu3 nin4 sam1 si6
青春期的心理特徵,cing1 ceon1 kei4 dik1 sam1 lei5 dak6 zing1
青春期的心理衛生,cing1 ceon1 kei4 dik1 sam1 lei5 wai6 sang1
可再生能源,ho2 zoi3 sang1 nang4 jyun4
非可再生能源,fei1 ho2 zoi3 sang1 nang4 jyun4
戰爭,zin3 zang1
飢荒,gei1 fong1
資源,zi1 jyun4
自然災害,zi6 jin4 zoi1 hoi6
香港十八區,hoeng1 gong2 sap6 baat3 keoi1
今昔面貌,gam1 sik1 min6 maau6
地區特色,dei6 keoi1 dak6 sik1
面積,min6 zik1
人口,jan4 hau2
景點,ging2 dim2
昔日香港,sik1 jat6 hoeng1 gong2
毒品的禍害,duk6 ban2 dik1 wo6 hoi6
拒絕毒品,keoi5 zyut6 duk6 ban2
外交部,ngoi6 gaau1 bou6
外交關係,ngoi6 gaau1 gwaan1 hai6
賭波,dou2 bo1
中國的概況,zung1 gwok3 dik1 koi3 fong3
近期發展,gan6 kei4 faat3 zin2
重要事件,zung6 jiu3 si6 gin2
短片,dyun2 pin2
遊戲,jau4 hei3
分組,fan1 zou2
角色扮演,gok3 sik1 baan6 jin2
中日韓,zung1 jat6 hon4
中印,zung1 jan3
文化交流,man4 faa3 gaau1 lau4
中國文化,zung1 gwok3 man4 faa3
中華文化,zung1 waa4 man4 faa3
中國文明,zung1 gwok3 man4 ming4
燦爛的中國文化,caan3 laan6 dik1 zung1 gwok3 man4 faa3
年代,nin4 doi6
學科,hok6 fo1
人物,jan4 mat2
地理,dei6 lei5
專題總目,zyun1 tai4 zung2 muk6
藝術,ngai6 seot6
文學,man4 hok6
語言,jyu5 jin4
探究,taam3 gau3
匯報,wui6 bou3
漢字的起源及變遷,hon3 zi6 dik1 hei2 jyun4 kap6 bin3 cin1
漢字的結構,hon3 zi6 dik1 git3 gau3
妙趣的漢字,miu6 ceoi3 dik1 hon3 zi6
圖片,tou4 pin2
動畫,dung6 waa2
孔子,hung2 zi2
諸葛亮,zyu1 got3 loeng6
華佗,waa4 to4
國民身份認衕,gwok3 man4 san1 fan2 jing2 dung6
中華民族風情,zung1 waa4 man4 zuk6 fung1 cing4
中國各民族的生活特色,zung1 gwok3 gok3 man4 zuk6 dik1 sang1 wut6 dak6 sik1
中華民族的形成,zung1 waa4 man4 zuk6 dik1 jing4 sing4
中國歷史上的少數民族,zung1 gwok3 lik6 si2 soeng5 dik1 siu2 sou3 man4 zuk6
當代中國的少數民族,dong1 doi6 zung1 gwok3 dik1 siu2 sou3 man4 zuk6
吐蕃文化,tou3 bo3 man4 faa3
南詔文化,naam4 ziu3 man4 faa3
回紇文化,wui4 hat6 man4 faa3
濫用藥物,laam6 jung6 joek6 mat6
酒精,zau2 zing1
菸草,jin1 cou2
生活教育活動計劃,sang1 wut6 gaau3 juk6 wut6 dung6 gai3 waak6
理財之道,lei5 coi4 zi1 dou6
金錢,gam1 cin4
財富,coi4 fu3
零用錢,ling4 jung6 cin2
購物與消費,kau3 mat6 jyu5 siu1 fai3
消費者委員會,siu1 fai3 ze2 wai2 jyun4 wui2
權益,kyun4 jik1
購物習慣,kau3 mat6 zaap6 gwaan3
破損,po3 syun2
貨品,fo3 ban2
評估,ping4 gu2
文字配對,man4 zi6 pui3 deoi3
配對練習,pui3 deoi3 lin6 zaap6
知識產權,zi1 sik1 caan2 kyun4
世界宣明會,sai3 gaai3 syun1 ming4 wui5
天然災害,tin1 jin4 zoi1 hoi6
災民生活,zoi1 man4 sang1 wut6
緊急救援,gan2 gap1 gau3 jyun4
困難,kwan3 naan4
中港關係,zung1 gong2 gwaan1 hai6
世界新聞簡訊,sai3 gaai3 san1 man4 gaan2 seon3
互動世界,wu6 dung6 sai3 gaai3
新來港衕學,san1 loi4 gong2 dung6 hok6
能源資訊園地,nang4 jyun4 zi1 seon3 jyun4 dei6
能源的原理,nang4 jyun4 dik1 jyun4 lei5
能源的作用,nang4 jyun4 dik1 zok3 jung6
能源的形態,nang4 jyun4 dik1 jing4 taai3
趣味天地,ceoi3 mei6 tin1 dei6
電器與器材,din6 hei3 jyu5 hei3 coi4
建築物,gin3 zuk1 mat6
運輸,wan6 syu1
節能小錦囊,zit3 nang4 siu2 gam2 nong4
能源審覈與碳審計,nang4 jyun4 sam2 hat6 jyu5 taan3 sam2 gai3
常見問題,soeng4 gin3 man6 tai4
最新消息,zeoi3 san1 siu1 sik1
有用資料,jau5 jung6 zi1 liu2
親親大自然,can1 can1 daai6 zi6 jin4
生物的特徵,sang1 mat6 dik1 dak6 zing1
脊髓動物,zek3 seoi5 dung6 mat6
無脊髓動物,mou4 zek3 seoi5 dung6 mat6
樂施會,lok6 si1 wui2
天災,tin1 zoi1
緊急救援工作,gan2 gap1 gau3 jyun4 gung1 zok3
金錢管理,gam1 cin4 gun2 lei5
專題研習,zyun1 tai4 jin4 zaap6
正確使用零用錢,zing3 kok3 sai2 jung6 ling4 jung6 cin2
處理公款,cyu2 lei5 gung1 fun2
管理捐款,gun2 lei5 gyun1 fun2
皮膚,pei4 fu1
舌頭,sit3 tau4
感覺器官,gam2 gok3 hei3 gun1
感覺器官的功能,gam2 gok3 hei3 gun1 dik1 gung1 nang4
性別角色與關係,sing3 bit6 gok3 sik1 jyu5 gwaan1 hai6
毒品的種類,duk6 ban2 dik1 zung2 leoi6
吸毒的禍害,kap1 duk6 dik1 wo6 hoi6
吸食毒品,kap1 sik6 duk6 ban2
禁毒工作,gam3 duk6 gung1 zok3
禁毒資源,gam3 duk6 zi1 jyun4
濫藥,laam6 joek6
吸菸,kap1 jin1
精明消費,zing1 ming4 siu1 fai3
消費習慣,siu1 fai3 zaap6 gwaan3
消費態度,siu1 fai3 taai3 dou6
經驗,ging1 jim6
體會,tai2 wui6
積極,zik1 gik6
生命的意義,sang1 meng6 dik1 ji3 ji6
樂觀,lok6 gun1
名人與學生,ming4 jan4 jyu5 hok6 saang1
積極,zik1 gik6
人生觀,jan4 sang1 gun1
積極人生,zik1 gik6 jan4 sang1
逆境,jik6 ging2
堅毅,gin1 ngai6
面對逆境,min6 deoi3 jik6 ging2
積極人生,zik1 gik6 jan4 sang1
顯微鏡,hin2 mei4 geng3
血小板,hyut3 siu2 baan2
白血球,baak6 hyut3 kau4
紅血球,hung4 hyut3 kau4
血液,hyut3 jik6
消化系統,siu1 faa3 hai6 tung2
消化過程,siu1 faa3 gwo3 cing4
循環系統,ceon4 waan4 hai6 tung2
心臟,sam1 zong6
血液,hyut3 jik6
器官,hei3 gun1
人體,jan4 tai2
人體拼圖,jan4 tai2 ping3 tou4
人體系統,jan4 tai2 hai6 tung2
人體器官,jan4 tai2 hei3 gun1
肺活量,fai3 wut6 loeng6
肺活量,fai3 wut6 loeng6
長氣大比拼,coeng2 hei3 daai6 bei2 ping3
性別角色與關係,sing3 bit6 gok3 sik1 jyu5 gwaan1 hai6
男女大不衕,naam4 neoi5 daai6 bat1 dung6
男女性別角色,naam4 neoi5 sing3 bit6 gok3 sik1
不衕性別,bat1 dung6 sing3 bit6
壓力的來源,aat3 lik6 dik1 loi4 jyun4
學生壓力處理,hok6 saang1 aat3 lik6 cyu2 lei5
處理壓力的方法,cyu2 lei5 aat3 lik6 dik1 fong1 faat3
物質濫用,mat6 zat1 laam6 jung6
吸菸,kap1 jin1
酗酒,jyu3 zau2
精神健康,zing1 san4 gin6 hong1
誘惑,jau5 waak6
酗酒輔導服務,jyu3 zau2 fu6 dou6 fuk6 mou6
喝酒,hot3 zau2
戒菸（戒菸）,gaai3 jin1 gaai3 jin1
衛生署控菸辦公室,wai6 sang1 cyu5 hung3 jin1 baan6 gung1 sat1
控菸辦公室,hung3 jin1 baan6 gung1 sat1
戒菸方法,gaai3 jin1 fong1 faat3
宣傳教育,syun1 cyun4 gaau3 juk6
控菸資訊站,hung3 jin1 zi1 seon3 zaam6
網上互動戒菸中心,mong5 soeng6 wu6 dung6 gaai3 jin1 zung1 sam1
香港吸菸與健康委員會,hoeng1 gong2 kap1 jin1 jyu5 gin6 hong1 wai2 jyun4 wui2
吸菸與健康,kap1 jin1 jyu5 gin6 hong1
藥物濫用,joek6 mat6 laam6 jung6
健康,gin6 hong1
吸菸,kap1 jin1
健康生活全面體,gin6 hong1 sang1 wut6 cyun4 min2 tai2
急救,gap1 gau3
香港醫療輔助隊,hoeng1 gong2 ji1 liu4 fu6 zo6 deoi6
急救知識,gap1 gau3 zi1 sik1
外傷,ngoi6 soeng1
出血,ceot1 hyut3
燒傷,siu1 soeng1
燙傷,tong3 soeng1
休克,jau1 haak1
意外,ji3 ngoi6
觸電,cuk1 din6
中毒,zung1 duk6
發燒,faat3 siu1
骨折,gwat1 zit3
家庭急救,gaa1 ting4 gap1 gau3
家具意外,gaa1 geoi6 ji3 ngoi6
割傷,got3 soeng1
灼傷,coek3 soeng1
頭部受傷,tau4 bou6 sau6 soeng1
骨折,gwat1 zit3
眼部受傷,ngaan5 bou6 sau6 soeng1
急救護理,gap1 gau3 wu6 lei5
消防處,siu1 fong4 cyu3
意外的處理方法,ji3 ngoi6 dik1 cyu2 lei5 fong1 faat3
救護,gau3 wu6
急救的方法,gap1 gau3 dik1 fong1 faat3
致電999,zi3 din6
999報案中心,bou3 on3 zung1 sam1
求助,kau4 zo6
召喚救護車,ziu6 wun6 gau3 wu6 ce1
救護車,gau3 wu6 ce1
急救箱,gap1 gau3 soeng1
物品,mat6 ban2
放置的位置,fong3 zi3 dik1 wai6 zi3
定期更換過期物品,ding6 kei4 gang1 wun6 gwo3 kei4 mat6 ban2
使用說明,sai2 jung6 syut3 ming4
食物金字塔,sik6 mat6 gam1 zi6 taap3
飲食金字塔,jam2 sik6 gam1 zi6 taap3
認識均衡飲食金字塔,jing6 sik1 gwan1 hang4 jam2 sik6 gam1 zi6 taap3
五穀根莖類,ng5 guk1 gan1 ging3 leoi6
穀米,guk1 mai5
均衡飲食,gwan1 hang4 jam2 sik6
營養素,jing4 joeng5 sou3
日日二加三,jat6 jat6 ji6 gaa1 saam1
食物類別,sik6 mat6 leoi6 bit6
性教育,sing3 gaau3 juk6
衛生處學生健康服務,wai6 sang1 cyu2 hok6 saang1 gin6 hong1 fuk6 mou6
異性交往,ji6 sing3 gaau1 wong5
異性相處,ji6 sing3 soeng1 cyu2
青春期,cing1 ceon1 kei4
情緒,cing4 seoi5
性教育,sing3 gaau3 juk6
皮膚,pei4 fu1
暗瘡,am3 cong1
暗瘡的形成,am3 cong1 dik1 jing4 sing4
處理暗瘡的方法,cyu2 lei5 am3 cong1 dik1 fong1 faat3
護苗手冊,wu6 miu4 sau2 caak3
家計會性教育網頁,gaa1 gai3 wui2 sing3 gaau3 juk6 mong5 jip6
物種,mat6 zung2
動物,dung6 mat6
食物成分,sik6 mat6 sing4 fan6
早餐調查,zou2 caan1 diu6 caa4
營養早餐單,jing4 joeng5 zou2 caan1 daan1
飲食習慣調查,jam2 sik6 zaap6 gwaan3 diu6 caa4
食物衛生,sik6 mat6 wai6 sang1
有益健康,jau5 jik1 gin6 hong1
素食研究,sou3 sik6 jin4 gau3
健康飲食,gin6 hong1 jam2 sik6
強身健體,koeng4 san1 gin6 tai2
體能活動,tai2 nang4 wut6 dung6
社區健康,se5 keoi1 gin6 hong1
社區活動,se5 keoi1 wut6 dung6
傳染病,cyun4 jim5 beng6
非傳染病,fei1 cyun4 jim5 beng6
衛生署衛生防護中心,wai6 sang1 cyu5 wai6 sang1 fong4 wu6 zung1 sam1
衛生署,wai6 sang1 cyu5
衛生,wai6 sang1
病徵,beng6 zing1
單張,daan1 zoeng1
海報,hoi2 bou3
相片,soeng3 pin2
短片,dyun2 pin2
牙齒,ngaa4 ci2
口腔護理,hau2 hong1 wu6 lei5
青少年口腔護理,cing1 siu3 nin4 hau2 hong1 wu6 lei5
牙齒的結構,ngaa4 ci2 dik1 git3 gau3
牙齒的種類,ngaa4 ci2 dik1 zung2 leoi6
牙齒護理,ngaa4 ci2 wu6 lei5
口腔健康,hau2 hong1 gin6 hong1
護齒方法,wu6 ci2 fong1 faat3
營養,jing4 joeng5
食物與營養,sik6 mat6 jyu5 jing4 joeng5
人體迷宮,jan4 tai2 mai4 gung1
兒童傳染病,ji4 tung4 cyun4 jim5 beng6
洗手方法,sai2 sau2 fong1 faat3
預防傳染病,jyu6 fong4 cyun4 jim5 beng6
免疫注射,min5 jik6 zyu3 se6
指引,zi2 jan5
計劃表,gai3 waak6 biu2
影響健康的因素,jing2 hoeng2 gin6 hong1 dik1 jan1 sou3
公共衛生,gung1 gung6 wai6 sang1
疾病遠離我,zat6 beng6 jyun5 lei4 ngo5
對抗疾病,deoi3 kong3 zat6 beng6
圖畫故事,tou4 waa2 gu3 si6
圖書,tou4 syu1
網上資料,mong5 soeng6 zi1 liu2
人類豬型流感,jan4 leoi6 zyu1 jing4 lau4 gam2
預防流感,jyu6 fong4 lau4 gam2
關心別人,gwaan1 sam1 bit6 jan4
保障,bou2 zoeng3
面部的感覺器官,min6 bou6 dik1 gam2 gok3 hei3 gun1
執書包,zap1 syu1 baau1
收拾書包,sau1 sap6 syu1 baau1
學校成員,hok6 haau6 sing4 jyun4
學校成員的責任,hok6 haau6 sing4 jyun4 dik1 zaak3 jam6
做個好學生,zou6 go3 hou3 hok6 saang1
學生的行爲,hok6 saang1 dik1 hang4 wai4
社交技能,se5 gaau1 gei6 nang4
與人相處的技巧,jyu5 jan4 soeng3 cyu2 dik1 gei6 haau2
與人相處的態度,jyu5 jan4 soeng3 cyu2 dik1 taai3 dou6
學校設備,hok6 haau6 cit3 bei6
學校設施,hok6 haau6 cit3 si1
性別角色,sing3 bit6 gok3 sik1
認識自己,jing6 sik1 zi6 gei2
合宜的打扮,hap6 ji4 dik1 daa2 baan6
場合,coeng4 hap6
個人體型,go3 jan4 tai2 jing4
良好飲食習慣,loeng4 hou2 jam2 sik6 zaap6 gwaan3
極速保護,gik6 cuk1 bou2 wu6
身體的不衕部分,san1 tai2 dik1 bat1 dung6 bou6 fan6
保護牙齒,bou2 wu6 ngaa4 ci2
換牙,wun6 ngaa4
照顧自己,ziu3 gu3 zi6 gei2
運動,wan6 dung6
香港兒童健康基金,hoeng1 gong2 ji4 tung4 gin6 hong1 gei1 gam1
兒童防疫,ji4 tung4 fong4 jik6
訪傷,fong2 soeng1
服用藥物,fuk6 jung6 joek6 mat6
處理藥物,cyu2 lei5 joek6 mat6
原則,jyun4 zak1
態度,taai3 dou6
日與夜,jat6 jyu5 je6
太陽,taai3 joeng4
月亮,jyut6 loeng6
月相,jyut6 soeng3
食物鏈,sik6 mat6 lin2
食物網,sik6 mat6 mong5
動態循環,dung6 taai3 ceon4 waan4
生物與環境的關係,sang1 mat6 jyu5 waan4 ging2 dik1 gwaan1 hai6
生態平衡,sang1 taai3 ping4 hang4
生態循環,sang1 taai3 ceon4 waan4
動植物與環境,dung6 zik6 mat6 jyu5 waan4 ging2
樹木,syu6 muk6
香港樹木,hoeng1 gong2 syu6 muk6
香港常見的樹木,hoeng1 gong2 soeng4 gin3 dik1 syu6 muk6
香港常見的50種樹木,hoeng1 gong2 soeng4 gin3 dik1 zung3 syu6 muk6
自然環境,zi6 jin4 waan4 ging2
生物多樣性,sang1 mat6 do1 joeng6 sing3
動植物品種,dung6 zik6 mat6 ban2 zung2
香港自然生態,hoeng1 gong2 zi6 jin4 sang1 taai3
溼地,sap1 dei6
香港溼地公園,hoeng1 gong2 sap1 dei6 gung1 jyun2
溼地的生態環境,sap1 dei6 dik1 sang1 taai3 waan4 ging2
香港生態遊,hoeng1 gong2 sang1 taai3 jau4
香港生態環境,hoeng1 gong2 sang1 taai3 waan4 ging2
生態地圖,sang1 taai3 dei6 tou4
物種分佈,mat6 zung2 fan1 bou3
生態網址,sang1 taai3 mong5 zi2
生態資源,sang1 taai3 zi1 jyun4
地貌,dei6 maau6
