char,jyutping
㗎喇咩,ga3 la3 me1
㗎喇噃,ga3 la3 bo3
㨃冧佢,deoi2 lam3 keoi5
㨘到擸擸炩,saang2 dou3 laap3 laap3 ling3
㨘到立立呤,saang2 dou3 laap3 laap3 ling3
䂻死你,zaang6 sei2 nei5
䎺唔䎺,zai3 m4 zai3
䎺唔過,zai3 m4 gwo3
一不做二不休,jat1 bat1 zou6 ji6 bat1 jau1
一不做，二不休,jat1 bat1 zou6 ji6 bat1 jau1
一人做事一人當,jat1 jan4 zou6 si6 jat1 jan4 dong1
一人得道，雞犬升天,jat1 jan4 dak1 dou6 gai1 hyun2 sing1 tin1
一人行一步,jat1 jan4 haang4 jat1 bou6
一人計短二人計長,jat1 jan4 gai3 dyun2 ji6 jan4 gai3 coeng4
一人計短，二人計長,jat1 jan4 gai3 dyun2 ji6 jan4 gai3 coeng4
一人退一步,jat1 jan4 teoi3 jat1 bou6
一代不如一代,jat1 doi6 bat1 jyu4 jat1 doi6
一代新人換舊人,jat1 doi6 san1 jan4 wun6 gau6 jan4
一件還一件,jat1 gin6 waan4 jat1 gin6
一個係噉,jat1 go3 hai6 gam2
一個做好，一個做醜,jat1 go3 zou6 hou2 jat1 go3 zou6 cau2
一個冇淨,jat1 go3 mou5 zing6
一個唔該,jat1 go3 m4 goi1
一個大話冚一個大話,jat1 go3 daai6 waa6 kam2 jat1 go3 daai6 waa6
一個大話𢫏一個大話,jat1 go3 daai6 waa6 kam2 jat1 go3 daai6 waa6
一個崩都冇,jat1 go3 bang1 dou1 mou5
一個崩都冇少到,jat1 go3 bang1 dou1 mou5 siu2 dou3
一個巴掌拍不響,jat1 go3 baa1 zoeng2 paak3 bat1 hoeng2
一個招牌矺落嚟都矺死幾件,jat1 go3 ziu1 paai4 zaak3 lok6 lai4 dou1 zaak3 sei2 gei2 gin6
一個招牌磧落嚟都磧死幾件,jat1 go3 ziu1 paai4 zaak3 lok6 lai4 dou1 zaak3 sei2 gei2 gin6
一個接一個,jat1 go3 zip3 jat1 go3
一個蘿蔔一個坑,jat1 go3 lo4 baak6 jat1 go3 haang1
一個酸梅兩個覈,jat1 go3 syun1 mui4 loeng5 go3 wat6
一個頭兩個大,jat1 go3 tau4 loeng5 go3 daai6
一個願打一個願捱,jat1 go3 jyun6 daa2 jat1 go3 jyun6 ngaai4
一個願打，一個願捱,jat1 go3 jyun6 daa2 jat1 go3 jyun6 ngaai4
一個餅印噉,jat1 go3 beng2 jan3 gam2
一借冇回頭,jat1 ze3 mou5 wui4 tau4
一傳十，十傳百,jat1 cyun4 sap6 sap6 cyun4 baak3
一分耕耘一分收穫,jat1 fan1 gaang1 wan4 jat1 fan1 sau1 wok6
一分耕耘，一分收穫,jat1 fan1 gaang1 wan4 jat1 fan1 sau1 wok6
一分錢一分貨,jat1 fan1 cin4 jat1 fan1 fo3
一切向錢看,jat1 cai3 hoeng3 cin2 hon3
