char,jyutping
一則以喜，一則以憂,jat1 zak1 ji5 hei2 jat1 zak1 ji5 jau1
一動不如一靜,jat1 dung6 bat1 jyu4 jat1 zing6
一匹布咁長,jat1 pat1 bou3 gam3 coeng4
一千幾百猶如垃圾,jat1 cin1 gei2 baak3 jau4 jyu4 laap6 saap3
一去不復返,jat1 heoi3 bat1 fuk6 faan2
一去無影蹤,jat1 heoi3 mou4 jing2 zung1
一句唔該使死人,jat1 geoi3 m4 goi1 sai2 sei2 jan4
一句起兩句止,jat1 geoi3 hei2 loeng5 geoi3 zi2
一命二運三風水,jat1 meng6 ji6 wan6 saam1 fung1 seoi2
一哭二鬧三上吊,jat1 huk1 ji6 naau6 saam1 soeng5 diu3
一唔一致,jat1 m4 jat1 zi3
一唔一齊,jat1 m4 jat1 cai4
一唔係,jat1 m4 hai6
一問三不知,jat1 man6 saam1 bat1 zi1
一啖砂糖一啖屎,jat1 daam6 saa1 tong4 jat1 daam6 si2
一啲啲,jat1 di1 di1
一啲線,jat1 di1 sin3
一啲都唔弱,jat1 di1 dou1 m4 joek6
一啲都唔知,jat1 di1 dou1 m4 zi1
一嘢嘴落,jat1 je5 zeoi2 lok6
一嚿飯噉,jat1 gau6 faan6 gam2
一回生二回熟,jat1 wui4 sang1 ji6 wui4 suk6
一回生兩回熟,jat1 wui4 sang1 loeng5 wui4 suk6
一地眼鏡碎,jat1 dei6 ngaan5 geng3 seoi3
一地都係,jat1 dei6 dou1 hai6
一場歡喜一場空,jat1 coeng4 fun1 hei2 jat1 coeng4 hung1
一夜夫妻百夜恩,jat1 je6 fu1 cai1 baak3 je6 jan1
一天一個樣,jat1 tin1 jat1 go3 joeng2
一天都光晒,jat1 tin1 dou1 gwong1 saai3
一夫當關，萬夫莫敵,jat1 fu1 dong1 gwaan1 maan6 fu1 mok6 dik6
一夫當關，萬夫莫開,jat1 fu1 dong1 gwaan1 maan6 fu1 mok6 hoi1
一失足成千古恨,jat1 sat1 zuk1 sing4 cin1 gu2 han6
一子錯，滿盤皆落索,jat1 zi2 co3 mun5 pun4 gaai1 lok6 sok3
一字咁淺,jat1 zi6 gam3 cin2
一字咁錢,jat1 zi6 gam3 cin2
一家便宜兩家着,jat1 gaa1 pin4 ji4 loeng5 gaa1 zoek6
一家唔知一家事,jat1 gaa1 m4 zi1 jat1 gaa1 si6
一寸光陰一寸金,jat1 cyun3 gwong1 jam1 jat1 cyun3 gam1
一寸光陰一寸金，寸金難買寸光陰,jat1 cyun3 gwong1 jam1 jat1 cyun3 gam1 cyun3 gam1 naan4 maai5 cyun3 gwong1 jam1
一將功成萬骨枯,jat1 zoeng3 gung1 sing4 maan6 gwat1 fu1
一就一二就二,jat1 zau6 jat1 ji6 zau6 ji6
一就一，二就二,jat1 zau6 jat1 ji6 zau6 ji6
一山不能藏二虎,jat1 saan1 bat1 nang4 cong4 ji6 fu2
一山還有一山高,jat1 saan1 waan4 jau2 jat1 saan1 gou1
一山還有一山高,jat1 saan1 waan4 jau5 jat1 saan1 gou1
一干嘢,jat1 gon1 je5
一年之計在於春,jat1 nin4 zi1 gai3 zoi6 jyu1 ceon1
一年之計在於春，一日之計在於晨,jat1 nin4 zi1 gai3 zoi6 jyu1 ceon1 jat1 jat6 zi1 gai3 zoi6 jyu1 san4
一年被蛇咬十年怕井繩,jat1 nin4 bei6 se4 ngaau5 sap6 nin4 paa3 zeng2 sing4
一弓射兩箭,jat1 gung1 se6 loeng5 zin3
一戙都冇,jat1 dung6 dou1 mou5
一手交錢，一手交貨,jat1 sau2 gaau1 cin2 jat1 sau2 gaau1 fo3
一手搶過來,jat1 sau2 coeng2 gwo3 loi4
一把眼淚一把鼻涕,jat1 baa2 ngaan5 leoi6 jat1 baa2 bei6 tai3
一把鑰匙開一把鎖,jat1 baa2 joek6 si4 hoi1 jat1 baa2 so2
一撇嘢,jat1 pit3 je5
一斤嘢,jat1 gan1 je5
一於係噉,jat1 jyu1 hai6 gam2
一於係噉啦,jat1 jyu1 hai6 gam2 laa1
一於唔䎺,jat1 jyu1 m4 zai3
一於唔制,jat1 jyu1 m4 zai3
一於唔畀佢去,jat1 jyu1 m4 bei2 keoi5 heoi3
一於噉話,jat1 jyu1 gam2 waa6
一於噉話啦,jat1 jyu1 gam2 waa6 laa1
一於噉話喇,jat1 jyu1 gam2 waa6 laa3
一日不見，如隔三秋,jat1 jat6 bat1 gin3 jyu4 gaak3 saam1 cau1
一日之計在於晨,jat1 jat6 zi1 gai3 zoi6 jyu1 san4
一日爲師，終身爲父,jat1 jat6 wai4 si1 zung1 san1 wai4 fu6
一時唔偷雞做保長,jat1 si4 m4 tau1 gai1 zou6 bou2 zoeng2
一時唔偷雞就做保長,jat1 si4 m4 tau1 gai1 zau6 zou6 bou2 zoeng2
一時好一時壞,jat1 si4 hou2 jat1 si4 waai6
一朝天子一朝臣,jat1 ciu4 tin1 zi2 jat1 ciu4 san4
一朝被蛇咬,jat1 ziu1 bei6 se4 ngaau5
一朝被蛇咬，十年怕井繩,jat1 ziu1 bei6 se4 ngaau5 sap6 nin4 paa3 zeng2 sing4
一本通書睇到老,jat1 bun2 tung1 syu1 tai2 dou3 lou5
一朵鮮花插在牛糞上,jat1 do2 sin1 faa1 caap3 zoi6 ngau4 fan3 soeng5
一根繩上的螞蚱,jat1 gan1 sing2 soeng6 dik1 maa6 zaa3
一條繩上的螞蚱,jat1 tiu4 sing2 soeng6 dik1 maa6 zaa3
一條道走到黑,jat1 tiu4 dou6 zau2 dou3 hak1
一棟嘢,jat1 dung6 je5
一棟都冇,jat1 dung6 dou1 mou5
一樓一架步,jat1 lau4 jat1 gaa3 bou6
一樣㗎,jat1 joeng6 gaa2
一樣米養百樣人,jat1 joeng6 mai5 joeng5 baak3 joeng6 jan4
一樹梨花壓海棠,jat1 syu6 lei4 faa1 aat3 hoi2 tong4
一次又一次,jat1 ci3 jau6 jat1 ci3
一次定生死,jat1 ci3 ding3 sang1 sei2
一次生兩次熟,jat1 ci3 saang1 loeng5 ci3 suk6
一次生，兩次熟,jat1 ci3 saang1 loeng5 ci3 suk6
一次起兩次止,jat1 ci3 hei2 loeng5 ci3 zi2
一步一個腳印,jat1 bou6 jat1 go3 goek3 jan3
一氧化碳中毒,jat1 joeng5 faa3 taan3 zung1 duk6
一波未平，一波又起,jat1 bo1 mei6 ping4 jat1 bo1 jau6 hei2
一浪接一浪,jat1 long6 zip3 jat1 long6
一爲神功，二爲弟子,jat1 wai6 san4 gung1 ji6 wai6 dai6 zi2
一物剋一物,jat1 mat6 hak1 jat1 mat6
一物治一物糯米治木蝨,jat1 mat6 zi6 jat1 mat6 no6 mai5 zi6 muk6 sat1
一物治一物，糯米治木虱,jat1 mat6 zi6 jat1 mat6 no6 mai5 zi6 muk6 sat1
一物治一物，糯米治木蝨,jat1 mat6 zi6 jat1 mat6 no6 mai5 zi6 muk6 sat1
一猜嘢,jat1 caa1 je5
一理通百理明,jat1 lei5 tung1 baak3 lei5 ming4
一理通，百理明,jat1 lei5 tung1 baak3 lei5 ming4
一生受用不盡,jat1 sang1 sau6 jung6 bat1 zeon6
一疋布咁長,jat1 pat1 bou3 gam3 coeng4
一發不可收拾,jat1 faat3 bat1 ho2 sau1 sap6
一白遮三醜,jat1 baak6 ze1 saam1 cau2
一皮嘢,jat1 pei4 je5
一着不慎，滿盤皆輸,jat1 zoek6 bat1 san6 mun5 pun4 gaai1 syu1
一碌叱噉,jat1 luk1 cik1 gam2
一竹篙打一船人,jat1 zuk1 gou1 daa2 jat1 syun4 jan4
一竹篙打晒一船人,jat1 zuk1 gou1 daa2 saai3 jat1 syun4 jan4
一竹篙打死一船人,jat1 zuk1 gou1 daa2 sei2 jat1 syun4 jan4
一竹篙揇沉一船人,jat1 zuk1 gou1 naam5 cam4 jat1 syun4 jan4
一筆還一筆,jat1 bat1 waan4 jat1 bat1
一粒老鼠屎壞了一鍋粥,jat1 lap1 lou5 syu2 si2 waai6 liu5 jat1 wo1 zuk1
一粒骰噉,jat1 nap1 sik1 gam2
一而再，再而三,jat1 ji4 zoi3 zoi3 ji4 saam1
一腳踏兩船,jat1 goek3 daap6 loeng5 syun4
一腳踏幾船,jat1 goek3 daap6 gei2 syun4
一舉手一投足,jat1 geoi2 sau2 jat1 tau4 zuk1
一草嘢,jat1 cou2 je5
一蟹不如一蟹,jat1 haai5 bat1 jyu4 jat1 haai5
一言以蔽之,jat1 jin4 ji5 bai3 zi1
一言既出駟馬難追,jat1 jin4 gei3 ceot1 si3 maa5 naan4 zeoi1
一言既出，駟馬難追,jat1 jin4 gei3 ceot1 si3 maa5 naan4 zeoi1
一言興邦，一言喪邦,jat1 jin4 hing1 bong1 jat1 jin4 song3 bong1
一言驚醒夢中人,jat1 jin4 ging1 sing2 mung6 zung1 jan4
一試便知龍與鳯,jat1 si3 bin6 zi1 lung4 jyu5 fung6
一諾值千金,jat1 nok6 zik6 cin1 gam1
一講曹操曹操就到,jat1 gong2 cou4 cou1 cou4 cou1 zau6 dou3
一講曹操，曹操就到,jat1 gong2 cou4 cou1 cou4 cou1 zau6 dou3
一轆木噉,jat1 luk1 muk6 gam2
一遍又一遍,jat1 pin3 jau6 jat1 pin3
一醉解千愁,jat1 zeoi3 gaai2 cin1 sau4
一陣啦,jat1 zan6 laa1
一隻狗噉,jat1 zek3 gau2 gam2
一隻雀噉,jat1 zek3 zoek2 gam2
一雞嘢,jat1 gai1 je5
一雞死一雞鳴,jat1 gai1 sei2 jat1 gai1 ming4
一雞死，一雞鳴,jat1 gai1 sei2 jat1 gai1 ming4
一顆老鼠屎壞了一鍋粥,jat1 fo2 lou5 syu2 si2 waai6 liu5 jat1 wo1 zuk1
丁咁多,ding1 gam3 do1
丁咁大,ding1 gam3 daai1
七個我,cat1 go3 ngo5
七國咁亂,cat1 gwok3 gam3 lyun6
七月有立秋，遲禾冇得收,cat1 jyut6 jau5 laap6 cau1 ci4 wo4 mou5 dak1 sau1
七頭噉款,cat1 tau4 gam2 fun2
丈二和尚，摸不着頭腦,zoeng6 ji6 wo4 soeng2 mo2 bat1 zoek6 tau4 nou5
丈二金剛摸不着頭腦,zoeng6 ji6 gam1 gong1 mo2 bat1 zoek6 tau4 nou5
三七二十一,saam1 cat1 ji6 sap6 jat1
三七開定論,saam1 cat1 hoi1 ding6 leon6
三下五除二,saam1 haa6 ng5 ceoi4 ji6
三九兩丁七,saam1 gau2 loeng5 ding1 cat1
三九唔識七,saam1 gau2 m4 sik1 cat1
三人行必有我師,saam1 jan4 hang4 bit1 jau5 ngo5 si1
三人行，必有我師,saam1 jan4 hang4 bit1 jau5 ngo5 si1
三個女人一個墟,saam1 go3 neoi5 jan2 jat1 go3 heoi1
三個女人一臺戲,saam1 go3 neoi5 jan4 jat1 toi4 hei3
三個臭皮匠,saam1 go3 cau3 pei4 zoeng6
三個臭皮匠，勝過一個諸葛亮,saam1 go3 cau3 pei4 zoeng6 sing3 gwo3 jat1 go3 zyu1 got3 loeng6
三個臭皮匠，賽過諸葛亮,saam1 go3 cau3 pei4 zoeng6 coi3 gwo3 zyu1 got3 loeng6
三個臭皮匠，頂個諸葛亮,saam1 go3 cau3 pei4 zoeng6 ding2 go3 zyu1 got3 loeng6
三兩下手勢,saam1 loeng5 haa5 sau2 sai3
三兩下手腳,saam1 loeng5 haa5 sau2 goek3
三六滾一滾,saam1 luk6 gwan2 jat1 gwan2
三分顏色上大紅,saam1 fan1 ngaan4 sik1 soeng5 daai6 hung4
三十六計，走爲上策,saam1 sap6 luk6 gai3 zau2 wai4 soeng6 caak3
三唔識七,saam1 m4 sik1 cat1
三天不打，上房揭瓦,saam1 tin1 bat1 daa2 soeng6 fong4 kit3 ngaa5
三天打魚，兩天曬網,saam1 tin1 daa2 jyu4 loeng5 tin1 saai3 mong5
三寸不爛之舌,saam1 cyun3 bat1 laan6 zi1 sit3
三年唔發市發市當三年,saam1 nin4 m4 faat3 si5 faat3 si5 dong3 saam1 nin4
三年唔發市，發市當三年,saam1 nin4 m4 faat3 si5 faat3 si5 dong3 saam1 nin4
三日唔埋,saam1 jat6 m4 maai4
三更窮五更富,saam1 gaang1 kung4 ng5 gaang1 fu3
三步擸埋兩步,saam1 bou6 laap3 maai4 loeng5 bou6
三步擸埋兩步走,saam1 bou6 laap3 maai4 loeng5 bou6 zau2
三歲定八十,saam1 seoi3 ding6 baat3 sap6
三魂唔見七魄,saam1 wan4 m4 gin3 cat1 paak3
上一次當，學一次乖,soeng5 jat1 ci3 dong3 hok6 jat1 ci3 gwaai1
上下五千年,soeng6 haa6 ng5 cin1 nin4
上五寸下五寸,soeng6 ng5 cyun3 haa6 ng5 cyun3
上咗來,soeng5 zo2 loi4
上咗癮,soeng5 zo2 jan5
上咗網,soeng5 zo2 mong5
上咩班,soeng5 me1 baan1
上唔到,soeng5 m4 dou3
上天無路，入地無門,soeng5 tin1 mou4 lou6 jap6 dei6 mou4 mun4
上屋搬下屋唔見一籮穀,soeng5 uk1 bun1 haa6 uk1 m4 gin3 jat1 lo4 guk1
上屋搬下屋，唔見一籮穀,soeng6 uk1 bun1 haa6 uk1 m4 gin3 jat1 lo4 guk1
上得山多終遇虎,soeng5 dak1 saan1 do1 zung1 jyu6 fu2
上得牀嚟掀被冚,soeng5 dak1 cong4 lai4 hin1 pei5 kam2
上我度,soeng5 ngo5 dok6
上有天堂，下有蘇杭,soeng6 jau5 tin1 tong4 haa6 jau5 sou1 hong4
上有政策，下有對策,soeng6 jau5 zing3 caak3 haa6 jau5 deoi3 caak3
上有老下有小,soeng6 jau5 lou5 haa6 jau5 siu2
上梁不正下梁歪,soeng5 loeng4 bat1 zing3 haa6 loeng4 waai1
上樑不正下樑歪,soeng6 loeng4 bat1 zeng3 haa6 loeng4 waai1
上氣不接下氣,soeng6 hei3 bat1 zip3 haa6 hei3
上氣唔接下氣,soeng5 hei3 m4 zip3 haa6 hei3
上錯天堂投錯胎,soeng5 co3 tin1 tong4 tau4 co3 toi1
上陣不離父子兵,soeng5 zan6 bat1 lei4 fu6 zi2 bing1
上面蒸鬆糕，下面賣涼粉,soeng6 min6 zing1 sung1 gou1 haa6 min6 maai6 loeng4 fan2
下星期啦,haa6 sing1 kei4 la1
下欄嘢,haa6 laan4 je5
下欄扮上菜,haa6 laan4 baan6 soeng6 coi3
下次先啦,haa6 ci3 sin1 la1
下次啦,haa6 ci3 la1
不以物喜，不以己悲,bat1 ji5 mat6 hei2 bat1 ji5 gei2 bei1
不以規矩，不成方圓,bat1 ji5 kwai1 geoi2 bat1 sing4 fong1 jyun4
不做虧心事，不怕鬼敲門,bat1 zou6 kwai1 sam1 si6 bat1 paa3 gwai2 haau1 mun4
不入虎穴，焉得虎子,bat1 jap6 fu2 jyut6 jin1 dak1 fu2 zi2
不共戴天之仇,bat1 gung6 daai3 tin1 zi1 sau4
不分伯仲,bat1 fan1 baak3 zung6
不分男女老幼,bat1 fan1 naam4 neoi5 lou5 jau3
不分輕重緩急,bat1 fan1 hing1 cung5 wun6 gap1
不分青紅皁白,bat1 fan1 cing1 hung4 zou6 baak6
不切合實際,bat1 cit3 hap6 sat6 zai3
不到長城非好漢,bat1 dou3 coeng4 sing4 fei1 hou2 hon3
不到黃河心不死,bat1 dou3 wong4 ho4 sam1 bat1 sei2
不叼你,bat1 diu1 nei5
不問前因後果,bat1 man6 cin4 jan1 hau6 gwo2
不問是非曲直,bat1 man6 si6 fei1 kuk1 zik6
不問青紅皁白,bat1 man6 cing1 hung4 zou6 baak6
不喫人間菸火,bat1 hek3 jan4 gaan1 jin1 fo2
不在其位不謀其政,bat1 zoi6 kei4 wai6 bat1 mau4 kei4 zing3
不如下次先啦,bat1 jyu4 haa6 ci3 sin1 laa1
不如噉呀,bat1 jyu4 gam2 aa4
不嬲係噉,bat1 nau1 hai6 gam2
不孝有三，無後爲大,bat1 haau3 jau5 saam1 mou4 hau6 wai4 daai6
不幸中之大幸,bat1 hang6 zung1 zi1 daai6 hang6
不得其門而入,bat1 dak1 kei4 mun4 ji4 jap6
不得已而爲之,bat1 dak1 ji5 ji4 wai4 zi1
不怕一萬，就怕萬一,bat1 paa3 jat1 maan6 zau6 paa3 maan6 jat1
不怕不識貨，只怕貨比貨,bat1 paa3 bat1 sik1 fo3 zi2 paa3 fo3 bei2 fo3
不怕不識貨，就怕貨比貨,bat1 paa3 bat1 sik1 fo3 zau6 paa3 fo3 bei2 fo3
不怕啦,bat1 paa3 la1
不怕官，只怕管,bat1 paa3 gun1 zi2 paa3 gun2
不怕神一樣的對手，就怕豬一樣的隊友,bat1 paa3 san4 jat1 joeng6 dik1 deoi3 sau2 zau6 paa3 zyu1 jat1 joeng6 dik1 deoi6 jau5
不患寡而患不均,bat1 waan6 gwaa2 ji4 waan6 bat1 gwan1
不成功便成仁,bat1 sing4 gung1 bin6 sing4 jan4
不打不成器,bat1 daa2 bat1 sing4 hei3
不打不相識,bat1 daa2 bat1 soeng1 sik1
不是一家人不進一家門,bat1 si6 jat1 gaa1 jan4 bat1 zeon3 jat1 gaa1 mun4
不是冤家不聚頭,bat1 si6 jyun1 gaa1 bat1 zeoi6 tau4
不是喫素的,bat1 si6 hek3 sou3 dik1
不求有功，但求無過,bat1 kau4 jau5 gung1 daan6 kau4 mou4 gwo3
不爲五斗米折腰,bat1 wai6 ng5 dau2 mai5 zit3 jiu1
不爽你,bat1 song2 nei5
不爽我,bat1 song2 ngo5
不理好醜但求就手,bat1 lei5 hou2 cau2 daan6 kau4 zau6 sau2
不當一回事,bat1 dong3 jat1 wui4 si6
不登大雅之堂,bat1 dang1 daai6 ngaa5 zi1 tong4
不相伯仲,bat1 soeng1 baak3 zung6
不知其所以然,bat1 zi1 kei4 so2 ji5 jin4
不知天高地厚,bat1 zi1 tin1 gou1 dei6 hau5
不知好笑還是好怒,bat1 zi1 hou2 siu3 waan4 si6 hou2 nou6
不知者不罪,bat1 zi1 ze2 bat1 zeoi6
不管三七二十一,bat1 gun2 saam1 cat1 ji6 sap6 jat1
不給我出,bat1 kap1 ngo5 ceot1
不經一事，不長一智,bat1 ging1 jat1 si6 bat1 zoeng2 jat1 zi3
不能給你,bat1 nang4 kap1 nei5
不自由，毋寧死,bat1 zi6 jau4 mou4 ning4 sei2
不見一點蹤影,bat1 gin3 jat1 dim2 zung1 jing2
不見棺材不掉淚,bat1 gin3 gun1 coi4 bat1 diu6 leoi6
不見棺材不落淚,bat1 gin3 gun1 coi4 bat1 lok6 leoi6
不識廬山真面目,bat1 sik1 lou4 saan1 zan1 min6 muk6
不費吹灰之力,bat1 fai3 ceoi1 fui1 zi1 lik6
不食人間菸火,bat1 sik6 jan4 gaan1 jin1 fo2
且聽下回分解,ce2 ting1 haa6 wui4 fan1 gaai2
世上無難事,sai3 soeng5 mou4 naan4 si6
丙到豬頭噉,bing2 dou3 zyu1 tau4 gam2
丙到隻嘢噉,bing2 dou3 zek3 je5 gam2
丙到隻狗噉,bing2 dou3 zek3 gau2 gam2
中咗邪,zung3 zo2 ce4
中巴關係,zung1 baa1 gwaan1 hai6
中意你,zung1 ji3 nei5
中意我,zung1 ji3 ngo5
中氣咁足,zung1 hei3 gam3 zuk1
中看不中用,zung1 hon3 bat1 zung1 jung6
主僕關係,zyu2 buk6 gwaan1 hai6
主從關係,zyu2 cung4 gwaan1 hai6
久唔久,gau2 m4 gau2
久病成良醫,gau2 beng6 sing4 loeng4 ji1
久病牀前無孝子,gau2 beng6 cong4 cin4 mou4 haau3 zi2
之但係,zi1 daan6 hai6
之唔係,zi1 m4 hai6
之唔係囉,zi1 m4 hai6 lo1
乘興而往敗興而歸,sing4 hing3 ji4 wong5 baai6 hing3 ji4 gwai1
乜乜七七,mat1 mat1 cat1 cat1
乜乜乜,mat1 mat1 mat1
乜乜柒柒,mat1 mat1 cat6 cat6
乜乜物物,mat1 mat1 mat6 mat6
乜你噉㗎,mat1 nei5 gam2 gaa3
乜你有咩,mat1 nei5 jau5 me1
乜係你,mat1 hai6 nei5
乜傢伙,mat1 gaa1 fo1
乜傢伙,mat1 gaa1 fo2
乜冇用,mat1 mou5 jung6
乜咁木㗎,mat1 gam3 muk6 gaa2
乜唔係,mat1 m4 hai6
乜唔知,mat1 m4 zi1
乜嘢事幹,mat1 je5 si6 gon3
乜嘢唔識,mat1 je5 m4 sik1
乜嘢嚟嘅,mat1 je5 lai4 ge3
乜嘢料,mat1 je5 liu2
乜嘢料呀,mat1 je5 liu2 aa3
乜嘢料啊,mat1 je5 liu2 aa3
乜嘢新絲蘿蔔皮,mat1 je5 san1 si1 lo4 baak6 pei5
乜嘢新鮮蘿蔔皮,mat1 je5 san1 sin1 lo4 baak6 pei5
乜嘢時間,mat1 je5 si4 gaan1
乜嘢東東,mat1 je5 dung1 dung1
乜嘢環境,mat1 je5 waan4 ging2
乜嘢話,mat1 je5 waa2
乜噉㗎,mat1 gam2 gaa2
乜噉嘅,mat1 gam2 ge3
乜噉嘅啊,mat1 gam2 ge3 aa2
乜嚟㗎,mat1 lai4 gaa3
乜嚟架,mat1 lai4 gaa3
乜因由,mat1 jan1 jau4
乜天氣,mat1 tin1 hei3
乜料呀,mat1 liu2 aa3
乜時候,mat1 si4 hau6
乜東東,mat1 dung1 dung1
乜東東芫茜蔥,mat1 dung1 dung1 jim4 sai1 cung1
乜東東芫茜蔥,mat1 dung1 dung1 jin4 sai1 cung1
乜環境,mat1 waan4 ging2
乜花款,mat1 faa1 fun2
乜解究,mat1 gaai2 gau3
乜說話,mat1 syut3 waa6
乜都假,mat1 dou1 gaa2
乜都唔會,mat1 dou1 m4 wui5
乜都唔驚,mat1 dou1 m4 geng1
乜都唱,mat1 dou1 coeng3
乜都搞掂,mat1 dou1 gaau2 dim6
乜都知,mat1 dou1 zi1
乜都講晒,mat1 dou1 gong2 saai3
乜都識,mat1 dou1 sik1
乜醬物醬,mat1 zoeng3 mat6 zoeng3
乜頭乜路,mat1 tau4 mat1 lou6
九出十三歸,gau2 ceot1 sap6 saam1 gwai1
九咁長,gau2 gam3 coeng4
九唔搭八,gau2 m4 daap3 baat3
九曲十三彎,gau2 kuk1 sap6 saam1 waan1
九牛二虎之力,gau2 ngau4 ji6 fu2 zi1 lik6
九里咁遠,gau2 lei5 gam3 jyun5
乞兒兜度揦飯食,hat1 ji1 dau1 dou6 laa2 faan6 sik6
乞唔倒,hat1 m4 dou3
也好不了多少,jaa5 hou2 bat1 liu5 do1 siu2
也好不到哪裏去,jaa5 hou2 bat1 dou3 naa5 leoi5 heoi3
亂咁囄,lyun2 gam3 lei4
亂咁舂,lyun2 gam3 zung1
亂咁舂,lyun6 gam3 zung1
亂咁諗,lyun2 gam3 nam2
亂咁食嘢,lyun2 gam3 sik6 je5
亂咁鬧人,lyun2 gam3 naau6 jan4
亂咁鬱,lyun2 gam3 wat1
亂唔亂,lyun6 m4 lyun6
亂噏嘢,lyun6 ngap1 je5
亂搞男女關係,lyun6 gaau2 naam4 neoi5 gwaan1 hai6
亂棍打死老師傅,lyun6 gwan3 daa2 sei2 lou5 si1 fu2
亂諗嘢,lyun6 lam2 je5
亂過亂世佳人,lyun6 gwo3 lyun6 sai3 gaai1 jan4
亂過亂葬崗,lyun6 gwo3 lyun6 zong3 gong1
亂食嘢,lyun6 sik6 je5
事不關己，己不勞心,si6 bat1 gwaan1 gei2 gei2 bat1 lou4 sam1
事不關己，高高掛起,si6 bat1 gwaan1 gei2 gou1 gou1 gwaa3 hei2
事實勝於雄辯,si6 sat6 sing3 jyu1 hung4 bin6
事實擺在眼前,si6 sat6 baai2 zoi6 ngaan5 cin4
事後諸葛亮,si6 hau6 zyu1 got3 loeng6
事急馬行田,si6 gap1 maa5 haang1 tin4
事情多羅羅,si6 cing4 do1 lo4 lo4
二一添作五,ji6 jat1 tim1 zok3 ng5
二者不可兼得,ji6 ze2 bat1 ho2 gim1 dak1
五十步笑百步,ng5 sap6 bou6 siu3 baak3 bou6
五時花六時變,ng5 si4 faa1 luk6 si4 bin3
五百年前是一家,ng5 baak3 nin4 cin4 si6 jat1 gaa1
五窮六絕七翻身,ng5 kung4 luk6 zyut6 cat1 faan1 san1
井水不犯河水,zeng2 seoi2 bat1 faan6 ho4 seoi2
亞茂整餅，冇嗰樣整嗰樣,aa3 mau6 zing2 beng2 mou5 go2 joeng2 zing2 go2 joeng2
交個波畀你,gaau1 go3 bo1 bei2 nei5
亦即係,jik6 zik1 hai6
人一世物一世,jan4 jat1 sai3 mat6 jat1 sai3
人一世，物一世,jan4 jat1 sai3 mat6 jat1 sai3
人不可以貌相,jan4 bat1 ho2 ji5 maau6 soeng3
人不可貌相,jan4 bat1 ho2 maau6 soeng3
人不可貌相，海不可斗量,jan4 bat1 ho2 maau6 soeng3 hoi2 bat1 ho2 dau2 loeng4
人不可貌相，海水不可斗量,jan4 bat1 ho2 maau6 soeng3 hoi2 seoi2 bat1 ho2 dau2 loeng6
